module,script,language,purpose,cli_support,file_choose_fallback,input_files,output_files,dependencies,key_parameters,input_format_manual_checks,pipeline_handoff,potential_issues
"01.Proteome","Scripts/01.Proteome/01.Olink bridging normalization.R","R","Bridge-normalize two Olink NPX batches and compare panel-wise NPX distributions.","Yes: --batch1/-a, --batch2/-b, --outdir/-o","Yes; used when batch arguments are omitted.","Two Olink NPX batch files readable by OlinkAnalyze::read_NPX().","Bridge_Normalized_NPX_data.csv; Olink_density_before_normalization.pdf; Olink_density_after_normalization.pdf.","OlinkAnalyze; dplyr; ggplot2; stringr","olink_normalization(); fixed overlap_samples; reference_project = data1.","Confirm both inputs are standard Olink NPX exports; required columns include NPX, Panel, Assay, and a recognizable sample ID column; confirm overlap_samples are present in both batches.","Produces a bridge-normalized NPX table, but downstream proteome normalization still requires a curated sample x protein matrix rather than the raw Olink long-format export.","Overlap sample IDs are hard-coded; sample ID column names are only partially normalized; no repository-level real-data validation record is bundled."
"01.Proteome","Scripts/01.Proteome/02.Proteomic data normalization.R","R","Adjust protein abundance for age and sex effects and run PERMANOVA before and after correction.","Yes: --protein/-p, --info/-i, --outdir/-o","Yes; used when protein/info arguments are omitted.","Protein matrix (tab-delimited; rows = samples, columns = proteins); sample info table (tab-delimited).","Agesex_adjusted_protein_levels.csv; AgeSex_Effects.csv.","plotly; robustbase; vegan","adonis(..., permutations = 9999, method = euclidean); lmrob(feature ~ Age + Gender, k.max = 900000).","Confirm both files use sample IDs in row names; info must contain Group, Gender, Age, Year; protein columns must be numeric; Age must be numeric or coercible; Gender may be numeric or factor.","Adjusted output does not automatically merge Group back into the adjusted matrix, so the table usually needs manual joining/reformatting before differential analysis.","Protein count != 362 only warns; AgeSex_Effects.csv stores only the first Gender coefficient when Gender expands to multiple factor levels; no repository-level real-data validation record is bundled."
"01.Proteome","Scripts/01.Proteome/03.Differential protein analysis.R","R","Run AR vs HC differential testing with linear regression and save a volcano plot.","Yes: --input/-i, --outdir/-o, --group-column/-g","Yes; used when input is omitted.","Adjusted proteome CSV with a group column and protein features from column 3 onward.","Proteome_summary.csv; Proteome_volcano.pdf.","ggrepel; ggplot2; grid","lm(feature ~ Group); Benjamini-Hochberg (BH) correction via p.adjust(..., method = BH); volcano thresholds AR_P_value < 0.05 and abs(AR_Estimate) > 0.575.","Confirm the input is comma-delimited; confirm the requested group column exists and has at least two groups; confirm columns 1-2 are non-feature metadata and columns 3+ are numeric protein features.","Usually expects a manually curated table produced from Agesex_adjusted_protein_levels.csv plus reattached group metadata.","Still assumes protein features start at column 3; feature names containing unusual formula characters should be sanity-checked in practice; no repository-level real-data validation record is bundled."
"01.Proteome","Scripts/01.Proteome/04.GSEA enrichment.R","R","Convert protein IDs to ENTREZ IDs and run KEGG GSEA on differential results.","Yes: --input/-i, --outdir/-o, --protein-column/-p, --estimate-column/-e","Yes; used when input is omitted.","Differential protein summary CSV; default protein column ProteinID; default estimate column AR_Estimate.","AR_gsea_KEGG.csv; AR_gsea_KEGG_dotplot.pdf.","clusterProfiler; org.Hs.eg.db; enrichplot; forcats; dplyr; ggplot2","geneList built from AR_Estimate; bitr(..., fromType = SYMBOL, toType = ENTREZID); gseKEGG with organism = hsa, pvalueCutoff = 0.2, pAdjustMethod = BH, minGSSize = 5, maxGSSize = 200.","Confirm protein IDs are SYMBOL-compatible; confirm AR_Estimate is numeric; if ProteinID is absent, confirm the first column truly stores protein IDs rather than row numbers.","Consumes Proteome_summary.csv or an equivalent differential summary; no additional automated handoff issues if the ID column is correct.","append_kegg_category may be version-sensitive; ID conversion may drop many rows if identifiers are not SYMBOLs; no repository-level real-data validation record is bundled."
"02.Metabolome and lipidome","Scripts/02.Metabolome and lipidome/01.Metabolic data normalization.R","R","Adjust metabolite abundance for age and sex effects and run PERMANOVA before and after correction.","Yes: --metabolite/-m, --info/-i, --outdir/-o","Yes; used when metabolite/info arguments are omitted.","Metabolite matrix (tab-delimited; rows = samples, columns = metabolites); sample info table (tab-delimited).","Agesex_adjusted_metabolites.csv; AgeSex_Effects.csv.","plotly; robustbase; vegan","adonis(..., permutations = 9999, method = euclidean); lmrob(feature ~ Age + Gender, k.max = 900000).","Confirm both files use sample IDs in row names; info must contain Group, Gender, Age, Year; metabolite columns must be numeric; Age must be numeric or coercible; Gender may be numeric or factor.","Adjusted output does not automatically merge Group back into the adjusted matrix, so the table usually needs manual joining/reformatting before differential analysis.","Metabolite count != 362 only warns; AgeSex_Effects.csv stores only the first Gender coefficient when Gender expands to multiple factor levels; no repository-level real-data validation record is bundled."
"02.Metabolome and lipidome","Scripts/02.Metabolome and lipidome/02.Differential metabolite analysis.R","R","Run AR vs HC differential testing for metabolites and save a volcano plot.","Yes: --input/-i, --outdir/-o, --group-column/-g","Yes; used when input is omitted.","Adjusted metabolome CSV with a group column and metabolite features from column 3 onward.","Metabolome_summary.csv; Metabolome_volcano.pdf.","ggrepel; ggplot2; grid","lm(feature ~ Group); Benjamini-Hochberg (BH) correction via p.adjust(..., method = BH); volcano thresholds AR_P_value < 0.05 and abs(AR_Estimate) > 0.575.","Confirm the input is comma-delimited; confirm the requested group column exists and has at least two groups; confirm columns 1-2 are non-feature metadata and columns 3+ are numeric metabolite features.","Usually expects a manually curated table produced from Agesex_adjusted_metabolites.csv plus reattached group metadata.","Still assumes metabolite features start at column 3; feature names containing unusual formula characters should be sanity-checked in practice; no repository-level real-data validation record is bundled."
"02.Metabolome and lipidome","Scripts/02.Metabolome and lipidome/03.Lipidomic data normalization.R","R","Adjust lipid abundance for age and sex effects and run PERMANOVA before and after correction.","Yes: --lipid/-l, --info/-i, --outdir/-o","Yes; used when lipid/info arguments are omitted.","Lipid matrix (tab-delimited; rows = samples, columns = lipids); sample info table (tab-delimited).","Agesex_adjusted_lipidites.csv; AgeSex_Effects.csv.","plotly; robustbase; vegan","adonis(..., permutations = 9999, method = euclidean); lmrob(feature ~ Age + Gender, k.max = 900000).","Confirm both files use sample IDs in row names; info must contain Group, Gender, Age, Year; lipid columns must be numeric; Age must be numeric or coercible; Gender may be numeric or factor.","Adjusted output does not automatically merge Group back into the adjusted matrix, so the table usually needs manual joining/reformatting before differential analysis.","Output file name intentionally retains the original spelling lipidites for compatibility; lipid count != 362 only warns; no repository-level real-data validation record is bundled."
"02.Metabolome and lipidome","Scripts/02.Metabolome and lipidome/04.Differential lipids analysis.R","R","Run AR vs HC differential testing for lipids and save a volcano plot.","Yes: --input/-i, --outdir/-o, --group-column/-g","Yes; used when input is omitted.","Adjusted lipidome CSV with a group column and lipid features from column 3 onward.","Lipidome_summary.csv; Lipidome_volcano.pdf.","ggrepel; ggplot2; grid","lm(feature ~ Group); Benjamini-Hochberg (BH) correction via p.adjust(..., method = BH); volcano thresholds AR_P_value < 0.05 and abs(AR_Estimate) > 0.575.","Confirm the input is comma-delimited; confirm the requested group column exists and has at least two groups; confirm columns 1-2 are non-feature metadata and columns 3+ are numeric lipid features.","Usually expects a manually curated table produced from Agesex_adjusted_lipidites.csv plus reattached group metadata.","Still assumes lipid features start at column 3; feature names containing unusual formula characters should be sanity-checked in practice; no repository-level real-data validation record is bundled."
"03.Multi-omics integration","Scripts/03.Multi-omics integration/01.DIABOLO-model.R","R","Build a DIABLO / block-sPLS model from proteome, metabolome, lipidome, and group labels, then export edges and plots.","Yes: --proteome, --metabolome, --lipidome, --group, --outdir","Yes; used when one or more input arguments are omitted.","Proteome CSV; metabolome CSV; lipidome CSV; group CSV.","DIABLO_plot.pdf; DIABLO_circos.pdf; DIABLO_network_edges.csv.","mixOmics","spls keepX/keepY = c(25, 25); block.splsda design matrix with off-diagonal 0.1; perf folds = 10, nrepeat = 10; network cutoff = 0.4.","Confirm omics matrices are comma-delimited with sample IDs in row names; confirm group file contains a Group column and overlaps in sample IDs with all omics tables.","DIABLO_network_edges.csv can feed module assignment, but mmVec edges still need to be exported separately and combined manually downstream.","test.keepX block names still do not match the actual omics block names; no repository-level real-data validation record is bundled."
"03.Multi-omics integration","Scripts/03.Multi-omics integration/02.mmVec-model.sh","Shell","Convert omics tables to BIOM/QIIME2 artifacts and run mmVec paired-omics models plus QIIME2 visualizations.","Yes: positional INPUT_DIR METADATA_DIR OUTPUT_DIR or -i/--input-dir, -m/--metadata-dir, -o/--output-dir","No.","Microbiome.sample_aligned.txt; Proteome.sample_aligned.txt; Metabolome.sample_aligned.txt; Lipidome.sample_aligned.txt; metadata/Proteome_metadata.txt; metadata/Metabolome_metadata.txt; metadata/Lipidome_metadata.txt; metadata/Microbiome_metadata.txt.","Microbiome.biom; Proteome.biom; Metabolome.biom; Lipidome.biom; Microbiome.qza; Proteome.qza; Metabolome.qza; Lipidome.qza; Microbiome_Proteome_Summary; Microbiome_Metabolome_Summary; Microbiome_Lipidome_Summary; Proteome_Summary; Metabolome_Summary; Lipidome_Summary; Microbiome_Proteome_conditionals_viz.qzv; Microbiome_Proteome_emperor.qzv; Microbiome_Proteome_model_summary.qzv; Microbiome_Metabolome_conditionals_viz.qzv; Microbiome_Metabolome_emperor.qzv; Microbiome_Metabolome_model_summary.qzv; Microbiome_Lipidome_conditionals_viz.qzv; Microbiome_Lipidome_emperor.qzv; Microbiome_Lipidome_model_summary.qzv; Proteome_paired-summary.qzv; Metabolome_paired-summary.qzv; Lipidome_paired-summary.qzv.","biom; qiime; mmvec","set -euo pipefail; mmVec paired-omics with epochs = 100, latent-dim = 3, learning-rate = 0.001, summary-interval = 1, no-arm-the-gpu; baseline latent-dim = 0.","Confirm the sample-aligned text tables are BIOM-convertible; confirm metadata files satisfy QIIME2/Emperor format requirements; confirm biom and qiime are available in the active environment.","Does not directly export edges_from_mmVec.csv, so manual export or conversion of mmVec results is still required before module assignment.","Requires a working QIIME2/mmVec environment; manual extraction of mmVec edge tables is still part of the workflow contract; no repository-level real-data validation record is bundled."
